"by_date","user_ext_id","total_points_collected","max_points_ever","current_points_balance"
2024-12-20,"41212590",5000,8910,1070410
2024-12-20,"18526656",25000,0,1161400
2024-12-20,"48074823",2500,0,1170500
2024-12-20,"39818218",7500,0,1187500
2024-12-20,"50771817",2500,3390,1245390
2024-12-20,"14881184",6000,0,1279960
2024-12-20,"47684834",24010,30020,2210020
2024-12-20,"55045580",23010,12410,2744410
2024-12-20,"63406923",60000,13990,4181060
2024-12-20,"63168168",90000,117550,7730450
2024-12-19,"39818218",10000,0,1180000
2024-12-19,"50771817",5090,3390,1242890
2024-12-19,"14881184",2000,0,1273960
2024-12-19,"38672804",-35000,0,1491745
2024-12-19,"47684834",20000,16010,2186010
2024-12-19,"63613526",71740,59290,2404645
2024-12-19,"55045580",5000,4400,2721400
2024-12-19,"63168453",31220,67590,3072890
2024-12-19,"63406923",93990,13990,4121060
2024-12-19,"63168168",188950,117550,7640450
2024-12-18,"50771817",2500,800,1237800
2024-12-18,"14881184",5000,0,1271960
2024-12-18,"47684834",5000,16010,2166010
2024-12-18,"63613526",95550,23550,2332905
2024-12-18,"55045580",10000,4400,2716400
2024-12-18,"63168453",30000,66370,3041670
2024-12-18,"63406923",60000,10000,4027070
2024-12-18,"44265445",30000,50,4713550
2024-12-18,"63168168",120000,48600,7451500
2024-12-18,"45386262",220400,220450,23939500
2024-12-17,"41212590",5090,2590,1039090
2024-12-17,"39818218",10000,0,1165000
2024-12-17,"50771817",13300,800,1235300
2024-12-17,"14881184",1000,0,1266960
2024-12-17,"47684834",21010,16010,2161010
2024-12-17,"63613526",60000,0,2237355
2024-12-17,"55045580",14400,4400,2706400
2024-12-17,"63168453",156370,66370,3011670
2024-12-17,"63406923",10000,10000,3967070
2024-12-17,"63168168",198600,48600,7331500
2024-12-16,"41212590",7500,0,1034000
2024-12-16,"50771817",2500,0,1222000
2024-12-16,"14881184",2000,0,1265960
2024-12-16,"47684834",20000,0,2140000
2024-12-16,"63613526",12000,0,2177355
2024-12-16,"55045580",15000,0,2692000
2024-12-16,"63168453",54000,0,2855300
2024-12-16,"63406923",60000,0,3957070
2024-12-16,"63168168",150000,0,7132900
2024-12-16,"45386262",150000,50,23719100
