"audience_name","event_date","user_id","raw_value"
Novo Cashback - 16/12,2024-12-16 19:48:51.000,43234867,100.00
Novo Cashback - 16/12,2024-12-16 20:07:55.000,43199795,60.00
Novo Cashback - 16/12,2024-12-16 19:38:23.000,43199970,37.00
Novo Cashback - 16/12,2024-12-16 20:03:18.000,43176925,30.00
Novo Cashback - 16/12,2024-12-16 20:08:32.000,43206777,25.00
Novo Cashback - 16/12,2024-12-16 20:16:20.000,43250189,20.00
Novo Cashback - 16/12,2024-12-16 20:36:35.000,43281864,20.00
Novo Cashback - 16/12,2024-12-16 19:40:09.000,43199550,17.00
Novo Cashback - 16/12,2024-12-16 19:11:13.000,43293818,10.00
Novo Cashback - 16/12,2024-12-16 19:50:58.000,43182523,10.00
